"Year","Question","Area","Area_abbr","Demographics_Type","Demographics_Value","Percent","Low_Confidence_Interval","High_Confidence_Interval","Confidence_Interval_Formatted"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","New Jersey","NJ","RaceEthnicity","AI/AN, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","New Jersey","NJ","RaceEthnicity","Asian, NH","35.8","24.7","48.6","35.8 (CI 24.7 - 48.6)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","New Jersey","NJ","RaceEthnicity","Black, NH","41.3","35.7","47.0","41.3 (CI 35.7 - 47.0)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","New Jersey","NJ","RaceEthnicity","Hispanic","39.7","34.2","45.4","39.7 (CI 34.2 - 45.4)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","New Jersey","NJ","RaceEthnicity","Multiple race, NH","31.3","19.6","46.0","31.3 (CI 19.6 - 46.0)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","New Jersey","NJ","RaceEthnicity","NHOPI, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","New Jersey","NJ","RaceEthnicity","White, NH","31.9","28.0","36.2","31.9 (CI 28.0 - 36.2)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","New Jersey","NJ","Sex","Female","45.4","40.1","50.8","45.4 (CI 40.1 - 50.8)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","New Jersey","NJ","Sex","Male","26.5","22.9","30.6","26.5 (CI 22.9 - 30.6)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","New Jersey","NJ","Total","Total","35.8","33.0","38.7","35.8 (CI 33.0 - 38.7)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","New Mexico","NM","RaceEthnicity","AI/AN, NH","41.9","34.4","49.8","41.9 (CI 34.4 - 49.8)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","New Mexico","NM","RaceEthnicity","Asian, NH","35.3","26.8","44.9","35.3 (CI 26.8 - 44.9)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","New Mexico","NM","RaceEthnicity","Black, NH","41.6","34.2","49.4","41.6 (CI 34.2 - 49.4)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","New Mexico","NM","RaceEthnicity","Hispanic","40.6","37.8","43.5","40.6 (CI 37.8 - 43.5)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","New Mexico","NM","RaceEthnicity","Multiple race, NH","48.8","39.0","58.7","48.8 (CI 39.0 - 58.7)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","New Mexico","NM","RaceEthnicity","NHOPI, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","New Mexico","NM","RaceEthnicity","White, NH","38.6","35.2","42.1","38.6 (CI 35.2 - 42.1)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","New Mexico","NM","Sex","Female","50.7","48.0","53.4","50.7 (CI 48.0 - 53.4)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","New Mexico","NM","Sex","Male","30.3","28.2","32.6","30.3 (CI 28.2 - 32.6)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","New Mexico","NM","Total","Total","40.4","38.1","42.8","40.4 (CI 38.1 - 42.8)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","New York (Excluding New York City)","NYA","RaceEthnicity","AI/AN, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","New York (Excluding New York City)","NYA","RaceEthnicity","Asian, NH","35.9","17.0","60.4","35.9 (CI 17.0 - 60.4)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","New York (Excluding New York City)","NYA","RaceEthnicity","Black, NH","33.7","25.5","43.0","33.7 (CI 25.5 - 43.0)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","New York (Excluding New York City)","NYA","RaceEthnicity","Hispanic","40.6","35.6","45.9","40.6 (CI 35.6 - 45.9)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","New York (Excluding New York City)","NYA","RaceEthnicity","Multiple race, NH","29.8","14.9","50.9","29.8 (CI 14.9 - 50.9)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","New York (Excluding New York City)","NYA","RaceEthnicity","NHOPI, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","New York (Excluding New York City)","NYA","RaceEthnicity","White, NH","32.6","28.0","37.6","32.6 (CI 28.0 - 37.6)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","New York (Excluding New York City)","NYA","Sex","Female","44.0","39.4","48.7","44.0 (CI 39.4 - 48.7)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","New York (Excluding New York City)","NYA","Sex","Male","24.7","21.2","28.6","24.7 (CI 21.2 - 28.6)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","New York (Excluding New York City)","NYA","Total","Total","34.6","30.8","38.7","34.6 (CI 30.8 - 38.7)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","North Carolina","NC","RaceEthnicity","AI/AN, NH","36.6","17.0","61.9","36.6 (CI 17.0 - 61.9)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","North Carolina","NC","RaceEthnicity","Asian, NH","41.7","32.9","50.9","41.7 (CI 32.9 - 50.9)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","North Carolina","NC","RaceEthnicity","Black, NH","33.1","28.2","38.3","33.1 (CI 28.2 - 38.3)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","North Carolina","NC","RaceEthnicity","Hispanic","39.2","34.3","44.3","39.2 (CI 34.3 - 44.3)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","North Carolina","NC","RaceEthnicity","Multiple race, NH","51.3","41.6","61.0","51.3 (CI 41.6 - 61.0)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","North Carolina","NC","RaceEthnicity","NHOPI, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","North Carolina","NC","RaceEthnicity","White, NH","36.0","31.9","40.3","36.0 (CI 31.9 - 40.3)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","North Carolina","NC","Sex","Female","45.4","41.7","49.1","45.4 (CI 41.7 - 49.1)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","North Carolina","NC","Sex","Male","27.4","23.3","31.9","27.4 (CI 23.3 - 31.9)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","North Carolina","NC","Total","Total","36.3","33.5","39.3","36.3 (CI 33.5 - 39.3)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","North Dakota","ND","RaceEthnicity","AI/AN, NH","46.8","36.5","57.4","46.8 (CI 36.5 - 57.4)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","North Dakota","ND","RaceEthnicity","Asian, NH","31.5","18.4","48.4","31.5 (CI 18.4 - 48.4)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","North Dakota","ND","RaceEthnicity","Black, NH","21.5","14.1","31.2","21.5 (CI 14.1 - 31.2)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","North Dakota","ND","RaceEthnicity","Hispanic","33.8","27.2","41.0","33.8 (CI 27.2 - 41.0)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","North Dakota","ND","RaceEthnicity","Multiple race, NH","41.1","31.7","51.2","41.1 (CI 31.7 - 51.2)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","North Dakota","ND","RaceEthnicity","NHOPI, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","North Dakota","ND","RaceEthnicity","White, NH","28.2","26.0","30.6","28.2 (CI 26.0 - 30.6)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","North Dakota","ND","Sex","Female","40.8","36.6","45.2","40.8 (CI 36.6 - 45.2)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","North Dakota","ND","Sex","Male","20.3","18.2","22.6","20.3 (CI 18.2 - 22.6)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","North Dakota","ND","Total","Total","30.5","28.2","33.0","30.5 (CI 28.2 - 33.0)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Northern Mariana Islands","MP","RaceEthnicity","AI/AN, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Northern Mariana Islands","MP","RaceEthnicity","Asian, NH","46.3","43.4","49.3","46.3 (CI 43.4 - 49.3)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Northern Mariana Islands","MP","RaceEthnicity","Black, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Northern Mariana Islands","MP","RaceEthnicity","Hispanic","48.0","40.7","55.2","48.0 (CI 40.7 - 55.2)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Northern Mariana Islands","MP","RaceEthnicity","Multiple race, NH","51.0","42.7","59.2","51.0 (CI 42.7 - 59.2)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Northern Mariana Islands","MP","RaceEthnicity","NHOPI, NH","49.0","46.3","51.7","49.0 (CI 46.3 - 51.7)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Northern Mariana Islands","MP","RaceEthnicity","White, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Northern Mariana Islands","MP","Sex","Female","58.6","56.0","61.2","58.6 (CI 56.0 - 61.2)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Northern Mariana Islands","MP","Sex","Male","37.4","34.9","39.9","37.4 (CI 34.9 - 39.9)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Northern Mariana Islands","MP","Total","Total","47.7","45.9","49.5","47.7 (CI 45.9 - 49.5)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Ohio","OH","RaceEthnicity","AI/AN, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Ohio","OH","RaceEthnicity","Asian, NH","34.2","25.2","44.6","34.2 (CI 25.2 - 44.6)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Ohio","OH","RaceEthnicity","Black, NH","37.4","28.2","47.7","37.4 (CI 28.2 - 47.7)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Ohio","OH","RaceEthnicity","Hispanic","47.6","38.6","56.7","47.6 (CI 38.6 - 56.7)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Ohio","OH","RaceEthnicity","Multiple race, NH","39.5","27.4","53.0","39.5 (CI 27.4 - 53.0)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Ohio","OH","RaceEthnicity","NHOPI, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Ohio","OH","RaceEthnicity","White, NH","30.5","24.6","37.1","30.5 (CI 24.6 - 37.1)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Ohio","OH","Sex","Female","43.8","37.3","50.6","43.8 (CI 37.3 - 50.6)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Ohio","OH","Sex","Male","22.4","17.7","27.9","22.4 (CI 17.7 - 27.9)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Ohio","OH","Total","Total","33.0","27.9","38.6","33.0 (CI 27.9 - 38.6)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Oklahoma","OK","RaceEthnicity","AI/AN, NH","42.5","32.5","53.2","42.5 (CI 32.5 - 53.2)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Oklahoma","OK","RaceEthnicity","Asian, NH","32.7","20.5","47.9","32.7 (CI 20.5 - 47.9)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Oklahoma","OK","RaceEthnicity","Black, NH","22.6","14.5","33.4","22.6 (CI 14.5 - 33.4)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Oklahoma","OK","RaceEthnicity","Hispanic","40.9","34.6","47.5","40.9 (CI 34.6 - 47.5)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Oklahoma","OK","RaceEthnicity","Multiple race, NH","45.9","37.3","54.6","45.9 (CI 37.3 - 54.6)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Oklahoma","OK","RaceEthnicity","NHOPI, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Oklahoma","OK","RaceEthnicity","White, NH","38.8","35.0","42.7","38.8 (CI 35.0 - 42.7)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Oklahoma","OK","Sex","Female","47.8","43.7","52.0","47.8 (CI 43.7 - 52.0)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Oklahoma","OK","Sex","Male","29.8","26.4","33.4","29.8 (CI 26.4 - 33.4)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Oklahoma","OK","Total","Total","38.6","35.5","41.7","38.6 (CI 35.5 - 41.7)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Pennsylvania","PA","RaceEthnicity","AI/AN, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Pennsylvania","PA","RaceEthnicity","Asian, NH","30.6","23.4","39.0","30.6 (CI 23.4 - 39.0)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Pennsylvania","PA","RaceEthnicity","Black, NH","33.3","26.8","40.5","33.3 (CI 26.8 - 40.5)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Pennsylvania","PA","RaceEthnicity","Hispanic","41.9","35.8","48.3","41.9 (CI 35.8 - 48.3)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Pennsylvania","PA","RaceEthnicity","Multiple race, NH","32.4","23.6","42.6","32.4 (CI 23.6 - 42.6)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Pennsylvania","PA","RaceEthnicity","NHOPI, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Pennsylvania","PA","RaceEthnicity","White, NH","33.2","30.7","35.8","33.2 (CI 30.7 - 35.8)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Pennsylvania","PA","Sex","Female","45.1","42.2","48.1","45.1 (CI 42.2 - 48.1)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Pennsylvania","PA","Sex","Male","24.3","22.0","26.8","24.3 (CI 22.0 - 26.8)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Pennsylvania","PA","Total","Total","34.5","32.4","36.6","34.5 (CI 32.4 - 36.6)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Puerto Rico","PR","RaceEthnicity","AI/AN, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Puerto Rico","PR","RaceEthnicity","Asian, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Puerto Rico","PR","RaceEthnicity","Black, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Puerto Rico","PR","RaceEthnicity","Hispanic","36.0","33.1","39.0","36.0 (CI 33.1 - 39.0)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Puerto Rico","PR","RaceEthnicity","Multiple race, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Puerto Rico","PR","RaceEthnicity","NHOPI, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Puerto Rico","PR","RaceEthnicity","White, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Puerto Rico","PR","Sex","Female","43.8","40.3","47.3","43.8 (CI 40.3 - 47.3)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Puerto Rico","PR","Sex","Male","25.4","22.2","28.9","25.4 (CI 22.2 - 28.9)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Puerto Rico","PR","Total","Total","34.9","32.2","37.8","34.9 (CI 32.2 - 37.8)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Rhode Island","RI","RaceEthnicity","AI/AN, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Rhode Island","RI","RaceEthnicity","Asian, NH","25.2","14.4","40.3","25.2 (CI 14.4 - 40.3)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Rhode Island","RI","RaceEthnicity","Black, NH","27.6","21.4","34.8","27.6 (CI 21.4 - 34.8)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Rhode Island","RI","RaceEthnicity","Hispanic","36.8","30.8","43.3","36.8 (CI 30.8 - 43.3)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Rhode Island","RI","RaceEthnicity","Multiple race, NH","36.5","22.8","52.8","36.5 (CI 22.8 - 52.8)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Rhode Island","RI","RaceEthnicity","NHOPI, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Rhode Island","RI","RaceEthnicity","White, NH","31.3","26.8","36.1","31.3 (CI 26.8 - 36.1)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Rhode Island","RI","Sex","Female","40.6","36.8","44.6","40.6 (CI 36.8 - 44.6)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Rhode Island","RI","Sex","Male","23.9","20.2","28.1","23.9 (CI 20.2 - 28.1)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Rhode Island","RI","Total","Total","32.3","28.9","35.9","32.3 (CI 28.9 - 35.9)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","South Carolina","SC","RaceEthnicity","AI/AN, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","South Carolina","SC","RaceEthnicity","Asian, NH","39.1","29.8","49.2","39.1 (CI 29.8 - 49.2)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","South Carolina","SC","RaceEthnicity","Black, NH","33.9","27.7","40.7","33.9 (CI 27.7 - 40.7)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","South Carolina","SC","RaceEthnicity","Hispanic","42.0","33.0","51.6","42.0 (CI 33.0 - 51.6)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","South Carolina","SC","RaceEthnicity","Multiple race, NH","43.5","30.0","58.0","43.5 (CI 30.0 - 58.0)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","South Carolina","SC","RaceEthnicity","NHOPI, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","South Carolina","SC","RaceEthnicity","White, NH","40.6","34.9","46.6","40.6 (CI 34.9 - 46.6)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","South Carolina","SC","Sex","Female","48.0","44.0","52.0","48.0 (CI 44.0 - 52.0)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","South Carolina","SC","Sex","Male","29.6","24.9","34.8","29.6 (CI 24.9 - 34.8)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","South Carolina","SC","Total","Total","39.0","35.2","42.9","39.0 (CI 35.2 - 42.9)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","South Dakota","SD","RaceEthnicity","AI/AN, NH","55.6","46.8","64.0","55.6 (CI 46.8 - 64.0)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","South Dakota","SD","RaceEthnicity","Asian, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","South Dakota","SD","RaceEthnicity","Black, NH","25.2","11.8","46.0","25.2 (CI 11.8 - 46.0)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","South Dakota","SD","RaceEthnicity","Hispanic","47.3","37.1","57.7","47.3 (CI 37.1 - 57.7)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","South Dakota","SD","RaceEthnicity","Multiple race, NH","42.2","31.5","53.7","42.2 (CI 31.5 - 53.7)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","South Dakota","SD","RaceEthnicity","NHOPI, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","South Dakota","SD","RaceEthnicity","White, NH","30.9","26.3","35.9","30.9 (CI 26.3 - 35.9)"
"2019","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","South Dakota","SD","Sex","Female","45.3","40.7","50.0","45.3 (CI 40.7 - 50.0)"
